0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,1,2,4
0,0,0,0,0,0,0,0,0,0,1,2,4,6
0,0,0,0,0,0,0,0,0,1,2,4,6,8
0,0,0,0,0,0,0,0,1,2,4,6,8,9
0,0,0,0,0,0,0,1,2,4,6,8,9,10
0,0,0,0,0,0,1,2,4,6,8,9,10,11
0,0,0,0,0,1,2,4,6,8,9,10,11,12
0,0,0,0,1,2,4,6,8,9,10,11,12,13
0,0,0,1,2,4,6,8,9,10,11,12,13,14
0,0,1,2,4,6,8,9,10,11,12,13,14,15
0,1,2,4,6,8,9,10,11,12,13,14,15,15
1,2,4,6,8,9,10,11,12,13,14,15,15,15
2,4,6,8,9,10,11,12,13,14,15,15,15,16
4,6,8,9,10,11,12,13,14,15,15,15,16,16
6,8,9,10,11,12,13,14,15,15,15,16,16,16
8,9,10,11,12,13,14,15,15,15,16,16,16,17
9,10,11,12,13,14,15,15,15,16,16,16,17,17
10,11,12,13,14,15,15,15,16,16,16,17,17,17
11,12,13,14,15,15,15,16,16,16,17,17,17,18
12,13,14,15,15,15,16,16,16,17,17,17,18,18
13,14,15,15,15,16,16,16,17,17,17,18,18,18
14,15,15,15,16,16,16,17,17,17,18,18,18,19
15,15,15,16,16,16,17,17,17,18,18,18,19,19
15,15,16,16,16,17,17,17,18,18,18,19,19,20
15,16,16,16,17,17,17,18,18,18,19,19,20,20
16,16,16,17,17,17,18,18,18,19,19,20,20,20
16,16,17,17,17,18,18,18,19,19,20,20,20,21
16,17,17,17,18,18,18,19,19,20,20,20,21,21
17,17,17,18,18,18,19,19,20,20,20,21,21,21
17,17,18,18,18,19,19,20,20,20,21,21,21,22
17,18,18,18,19,19,20,20,20,21,21,21,22,22
18,18,18,19,19,20,20,20,21,21,21,21,22,22
18,18,19,19,20,20,20,20,21,21,21,22,22,23
18,19,19,20,20,20,20,20,21,21,22,22,23,23
19,19,20,20,20,20,20,20,21,22,22,22,23,24
19,20,20,20,20,20,20,20,22,22,22,22,23,24
20,20,20,20,20,20,21,21,22,22,22,23,24,25
20,20,20,20,20,21,21,21,22,22,23,23,24,25
20,20,20,21,21,21,21,21,22,23,23,23,25,25
20,20,20,21,21,21,21,21,23,23,23,24,25,25
20,21,21,21,21,21,22,22,23,23,24,24,25,25
21,21,21,21,21,22,22,22,23,23,24,25,25,25
21,21,21,22,22,22,22,22,23,24,24,25,25,25
21,21,21,22,22,22,22,22,24,24,25,25,25,25
21,22,22,22,22,22,23,23,24,24,25,25,25,25
22,22,22,22,22,23,23,23,24,25,25,25,25,25
22,22,22,23,23,23,23,23,24,25,25,25,25,25
22,22,23,23,23,23,23,23,25,25,25,25,25,25
22,23,23,23,23,23,24,24,25,25,25,25,25,25
23,23,23,23,23,24,24,25,25,25,25,25,25,25
23,23,23,24,24,24,25,25,25,25,25,25,25,25
23,23,24,24,24,25,25,25,25,25,25,25,25,25
23,24,24,24,25,25,25,25,25,25,25,25,25,25
24,24,24,25,25,25,25,25,25,25,25,25,25,25
24,24,25,25,25,25,25,25,25,25,25,25,25,25
24,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25
