0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,1,2,4
0,0,0,0,0,0,0,0,0,0,1,2,4,6
0,0,0,0,0,0,0,0,0,1,2,4,6,8
0,0,0,0,0,0,0,0,1,2,4,6,8,10
0,0,0,0,0,0,0,1,2,4,6,8,10,12
0,0,0,0,0,0,1,2,4,6,8,10,12,14
0,0,0,0,0,1,2,4,6,8,10,12,14,16
0,0,0,0,1,2,4,6,8,10,12,14,16,18
0,0,0,1,2,4,6,8,10,12,14,16,18,20
0,0,1,2,4,6,8,10,12,14,16,18,20,22
0,1,2,4,6,8,10,12,14,16,18,20,22,24
1,2,4,6,8,10,12,14,16,18,20,22,24,25
2,4,6,8,10,12,14,16,18,20,22,24,25,26
4,6,8,10,12,14,16,18,20,22,24,25,26,27
6,8,10,12,14,16,18,20,22,24,25,26,27,28
8,10,12,14,16,18,20,22,24,25,26,27,28,29
10,12,14,16,18,20,22,23,25,26,27,28,29,30
12,14,16,18,19,21,23,24,26,27,28,29,30,31
14,16,18,19,20,22,24,25,27,28,29,30,31,32
16,18,19,20,21,23,25,26,28,29,30,31,32,33
18,19,20,21,22,24,26,27,29,30,31,32,33,34
19,20,21,22,23,25,27,28,30,31,32,33,34,35
20,21,22,23,24,26,28,29,31,32,33,34,35,35
21,22,23,24,25,27,29,30,32,33,34,35,35,35
22,23,24,25,26,28,30,31,33,34,35,35,35,36
23,24,25,26,27,29,31,32,34,35,35,35,36,36
24,25,26,27,28,30,32,33,35,35,35,36,36,37
25,26,27,28,29,31,33,34,35,35,36,36,37,37
26,27,28,29,30,32,34,35,35,36,36,37,37,38
27,28,29,30,31,33,35,35,36,36,37,37,38,38
28,29,30,31,32,34,35,35,36,37,37,38,38,39
29,30,31,32,33,35,35,36,37,37,38,38,39,39
30,31,32,33,34,35,36,36,37,38,38,39,39,40
31,32,33,34,35,36,36,37,38,38,39,39,40,40
32,33,34,35,35,36,37,37,38,39,39,40,40,41
33,34,35,35,36,37,37,38,39,39,40,40,41,42
34,35,35,36,36,37,38,38,39,40,40,41,42,43
35,35,36,36,37,38,38,39,40,40,41,42,43,44
35,36,36,37,37,38,39,39,40,41,42,43,44,45
36,36,37,37,38,39,39,40,41,42,43,44,45,46
36,37,37,38,38,39,40,40,42,43,44,45,46,47
37,37,38,38,39,40,40,41,43,44,45,46,47,48
37,38,38,39,39,40,41,42,44,45,46,47,48,49
38,38,39,39,40,41,42,43,45,46,47,48,49,50
38,39,39,40,41,42,43,44,46,47,48,49,50,50
39,39,40,41,42,43,44,45,47,48,49,50,50,50
39,40,40,42,43,44,45,46,48,49,50,50,50,50
40,40,41,43,44,45,46,48,49,50,50,50,50,50
40,41,42,44,45,46,48,49,50,50,50,50,50,50
41,42,43,45,46,48,49,50,50,50,50,50,50,50
42,43,44,46,48,49,50,50,50,50,50,50,50,50
43,44,46,48,49,50,50,50,50,50,50,50,50,50
44,46,48,49,50,50,50,50,50,50,50,50,50,50
46,48,49,50,50,50,50,50,50,50,50,50,50,50
48,49,50,50,50,50,50,50,50,50,50,50,50,50
49,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50
